[gpu0] Starting: tau0.12_slots0_warmup0
Run:        pm3_tau0.12_slots0_warmup0
Device:     cuda
Epochs:     200
Batch size: 512
LR:         8.49e-04  (auto-scaled from 0.0003 at batch=64)
Output:     results/pm3_grid/pm3_tau0.12_slots0_warmup0.pkl
────────────────────────────────────────────────────────────
/global/homes/d/danieltm/.conda/envs/influencer/lib/python3.11/site-packages/torch/nn/modules/transformer.py:296: UserWarning: The PyTorch API of nested tensors is in prototype stage and will change in the near future. (Triggered internally at /opt/conda/conda-bld/pytorch_1682343970094/work/aten/src/ATen/NestedTensorImpl.cpp:177.)
  output = torch._nested_tensor_from_mask(output, src_key_padding_mask.logical_not(), mask_check=False)
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch 110 | loss=0.8067 dist=0.7301 div=2.331 H=0.075 gd=0.659 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch 111 | loss=0.8437 dist=0.7311 div=2.311 H=0.076 gd=0.635 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch 112 | loss=0.8410 dist=0.7303 div=2.303 H=0.075 gd=0.635 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch 113 | loss=0.8305 dist=0.7185 div=2.298 H=0.075 gd=0.657 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch 114 | loss=0.8321 dist=0.7228 div=2.289 H=0.076 gd=0.708 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch 115 | loss=0.8440 dist=0.7512 div=2.317 H=0.074 gd=0.618 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch 116 | loss=0.8588 dist=0.7412 div=2.293 H=0.076 gd=0.656 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch 117 | loss=0.8601 dist=0.7331 div=2.288 H=0.076 gd=0.633 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch 118 | loss=0.8842 dist=0.7860 div=2.305 H=0.078 gd=0.768 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch 119 | loss=0.8681 dist=0.7241 div=2.296 H=0.075 gd=0.659 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch 120 | loss=0.8619 dist=0.7422 div=2.290 H=0.077 gd=0.612 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch 121 | loss=0.8630 dist=0.7467 div=2.274 H=0.076 gd=0.666 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch 122 | loss=0.8761 dist=0.7400 div=2.298 H=0.075 gd=0.697 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch 123 | loss=0.8556 dist=0.7274 div=2.303 H=0.077 gd=0.690 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch 124 | loss=0.8503 dist=0.7406 div=2.286 H=0.079 gd=0.635 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch 125 | loss=0.8679 dist=0.7423 div=2.281 H=0.076 gd=0.655 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch 126 | loss=0.8630 dist=0.7534 div=2.270 H=0.079 gd=0.712 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch 127 | loss=0.8844 dist=0.7467 div=2.278 H=0.079 gd=0.734 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch 128 | loss=0.8954 dist=0.7583 div=2.269 H=0.079 gd=0.654 lr=8.49e-04
